,ID,NOMBRE PROYECTO,DIRECCIÓN,COMUNA,LATITUD,LONGITUD,INMOBILIARIA,TIPO PROYECTO,FECHA DE ENTREGA,SUP. PROMEDIO,TOTAL UNIDADES PROYECTO,VIGENCIA,FECHA DE PROCESO,CLIMA
2170,2172,EDIFICIO INES MATTE URREJOLA,"INES MATTE URREJOLA 0865, SANTIAGO, REGION METROPOLITANA, CHILE",PROVIDENCIA,-33.4272694,-70.6263519,ENACO - DESARROLLO INMOBILIARIO NAPOLEON,DEPARTAMENTO,44652,77.5,65,0,2022-12-16,por definir
2171,2173,EDIFICIO LOS LEONES ÑUÑOA,"GENERAL JOSE ARTIGAS 3082, SANTIAGO, REGION METROPOLITANA, CHILE",ÑUÑOA,-33.447203699999996,-70.5987183,BESALCO INMOBILIARIA S.A.,DEPARTAMENTO,44896,46.5,63,1,2022-12-16,por definir
2172,2174,EDIFICIO OPTIMUS,"RODRIGO DE ARAYA 2528, SANTIAGO, REGION METROPOLITANA, CHILE",ÑUÑOA,-33.4737994,-70.6058869,PROCASA RICARDO VIAL,DEPARTAMENTO,44986,52.5,160,1,2022-12-16,por definir
2173,2175,EDIFICIO PEDRO DE VALDIVIA,"PEDRO DE VALDIVIA 5461, SANTIAGO, REGION METROPOLITANA, CHILE",ÑUÑOA,-33.4738094,-70.6065101,INMOBILIARIA CBS,DEPARTAMENTO,45261,49.0,98,1,2022-12-16,por definir
2174,2176,EDIFICIO R,"RODO 1891, SANTIAGO, REGION METROPOLITANA, CHILE",PROVIDENCIA,-33.438607499999996,-70.6048215,PUERTO + ARQUITECTURA,DEPARTAMENTO,45352,72.5,56,0,2022-12-16,por definir
2175,2177,CONDOMINIO EL REFUGIO DE QUILIN,"MAR TIRRENO S/N, SANTIAGO, REGION METROPOLITANA, CHILE",PEÑALOLEN,-33.4906147,-70.576787,IKNOW GESTION INMOBILIARIA,CASA,44986,105.5,48,1,2022-12-16,por definir
2176,2178,EDIFICIO ESTACION RECREO,"RECREO 321, SANTIAGO, REGION METROPOLITANA, CHILE",ESTACION CENTRAL,-33.4577358,-70.695863,SUKSA GESTION INMOBILIARIA,DEPARTAMENTO,45352,44.0,408,1,2022-12-16,por definir
2177,2179,HOME,"LOS ESPINOS 3376, SANTIAGO, REGION METROPOLITANA, CHILE",MACUL,-33.4766745,-70.5973875,INMOBILIARIA PROYECTA,DEPARTAMENTO,45261,48.5,152,1,2022-12-16,por definir
2178,2180,INDEPENDENCIA 2935,"INDEPENDENCIA 2935, SANTIAGO, REGION METROPOLITANA, CHILE",INDEPENDENCIA,-33.399462,-70.6672035,INMOBILIARIA NUCLEOS,DEPARTAMENTO,45261,37.0,240,1,2022-12-16,por definir
2179,2181,ISA CAMPO DE DEPORTES,"CAMPO DE DEPORTES 96, SANTIAGO, REGION METROPOLITANA, CHILE",ÑUÑOA,-33.4546078,-70.6088934,ISA INMOBILIARIA,DEPARTAMENTO,44986,47.5,91,1,2022-12-16,por definir
2180,2182,EDIFICIO LIFT,"NAZCA 5665, SANTIAGO, REGION METROPOLITANA, CHILE",VITACURA,-33.392439599999996,-70.576475,EXXACON DESARROLLOS INMOBILIARIOS,DEPARTAMENTO,45627,103.0,48,1,2022-12-16,por definir
2181,2183,LO RECABARREN - DEPARTAMENTOS PARQUE A Y B,"SANTA MARIA 5888, SANTIAGO, REGION METROPOLITANA, CHILE",VITACURA,-33.3796634,-70.5843601,TANICA INMOBILIARIA,DEPARTAMENTO,45627,206.5,55,0,2022-12-16,por definir
2182,2184,EDIFICIO ZENTENO,"ZENTENO 860, SANTIAGO, REGION METROPOLITANA, CHILE",SANTIAGO,-33.4565464,-70.6507939,ABSAL INMOBILIARIA,DEPARTAMENTO,44986,39.0,94,1,2022-12-16,por definir
2183,2185,LOS ARRAYANES,"SAN IGNACIO 500, SANTIAGO, REGION METROPOLITANA, CHILE",PADRE HURTADO,-33.3316233,-70.7033297,TRAYECTA INMOBILIARIA,CASA,45261,100.0,81,1,2022-12-16,por definir
2184,2186,LTO 1401,"LUIS THAYER OJEDA 1401, SANTIAGO, REGION METROPOLITANA, CHILE",PROVIDENCIA,-33.4309693,-70.5986702,DESCO,DEPARTAMENTO,44986,79.0,40,1,2022-12-16,por definir
